DATETIME,Distance,Power,Liter,V1,V2,X,Y,Phase,Phase_compressed,Production
"2021-03-31 07:04:20",20.0625,-296.47,0,1,1,2.51533,1.72157,2,1,0
"2021-03-31 07:04:21",20.0625,-493.477,0,1,1,2.55122,1.77461,2,1,0
"2021-03-31 07:04:24",20.0625,55,0,1,1,2.59617,1.8555,2,1,0
"2021-03-31 07:04:25",20.0625,63.19,0,1,1,2.58137,1.83739,2,1,0
"2021-03-31 07:04:26",20.0625,94.8,0,1,1,2.59477,1.86634,2,1,0
"2021-03-31 07:04:27",20.0625,-4729.23,0,1,1,2.60234,1.88419,2,1,0
"2021-03-31 07:04:29",20.0625,-4187.38,0,1,1,2.60895,1.88656,2,1,0
"2021-03-31 07:04:30",20.0625,-3665.43,0,1,1,2.61175,1.9456,2,1,0
"2021-03-31 07:04:31",20.0625,-4382.82,0,1,1,2.5531,1.96635,2,1,0
"2021-03-31 07:04:32",20.0625,822.72,0,1,1,2.51964,1.96743,2,1,0
"2021-03-31 07:04:33",20.0625,868.36,0,1,1,2.58086,2.03937,2,1,0
"2021-03-31 07:04:35",20.0625,939.75,0,1,1,3.51027,2.26588,2,1,0
"2021-03-31 07:04:36",20.0625,2334.77,0,1,1,4.06527,1.60892,2,1,0
"2021-03-31 07:04:37",20.0625,2300.05,0,1,1,4.24173,1.44941,2,1,0
"2021-03-31 07:04:38",20.0625,2692.88,0,1,1,4.33569,1.32103,2,1,0
"2021-03-31 07:04:39",20.0625,3152.82,0,0,1,4.2297,1.27692,2,1,0
"2021-03-31 07:04:41",20.0625,3173.89,0,0,1,4.12485,1.15854,2,1,0
"2021-03-31 07:04:42",20.0625,3183.24,0,0,1,3.78626,0.699339,2,1,0
"2021-03-31 07:04:43",20.0625,3172.71,0,0,1,3.70306,1.32926,2,1,0
"2021-03-31 07:04:45",20.0625,3198.46,0,0,1,3.67324,1.54321,2,1,0
"2021-03-31 07:04:47",20.0625,3198.07,0,0,1,3.56631,1.58965,2,1,0
"2021-03-31 07:04:48",20.0625,3198.07,0,0,1,3.42628,1.60558,2,1,0
"2021-03-31 07:04:49",20.0625,3178.57,0,0,1,3.52702,1.44655,2,1,0
"2021-03-31 07:04:50",20.0625,3182.07,0,0,1,3.57516,1.31373,2,1,0
"2021-03-31 07:04:51",20.0625,3193.79,0,0,1,3.61786,1.24205,2,1,0
"2021-03-31 07:04:54",20.0625,3195.34,0,0,1,3.45676,1.61035,2,1,0
"2021-03-31 07:04:55",20.0625,3179.74,0,0,1,2.96908,1.59584,2,1,0
"2021-03-31 07:04:56",20.0625,3192.61,0,0,1,2.35327,1.60857,2,1,0
"2021-03-31 07:04:57",20.0625,3202.36,0,0,1,1.58917,1.47162,2,1,0
"2021-03-31 07:04:58",20.0625,3175.84,0,0,0,1.15005,0.997984,2,1,0
"2021-03-31 07:05:00",20.0625,3178.56,0,0,0,0.523555,0.199587,2,1,0
"2021-03-31 07:05:01",20.0625,3189.49,0,0,0,0.275862,0.209302,6,1,0
"2021-03-31 07:05:02",20.0625,3174.67,0,0,0,0.298846,0.158084,6,1,0
"2021-03-31 07:05:03",20.0625,3186.76,0,0,0,0.162783,0.0948713,6,1,0
"2021-03-31 07:05:04",20.0625,3182.08,0,0,0,0.398749,0.077116,6,1,0
"2021-03-31 07:05:06",20.0625,3180.91,0,0,0,0.908159,0.122673,6,1,0
"2021-03-31 07:05:07",20.0625,3190.27,0,0,0,0.481567,0.10616,6,1,0
"2021-03-31 07:05:08",20.0625,3182.08,0,0,0,0.247385,0.0810396,6,1,0
"2021-03-31 07:05:09",20.0625,3185.59,0,0,0,0.0528277,0.0324947,6,1,0
"2021-03-31 07:05:10",20.0625,3180.9,0,0,0,0.425301,0.0592824,6,1,0
"2021-03-31 07:05:12",20.0625,3179.73,0,0,0,0.425908,0.0665996,6,1,0
"2021-03-31 07:05:13",20.0625,3176.23,0,0,0,0.69859,0.0892539,6,1,0
"2021-03-31 07:05:14",20.0625,3179.73,0,0,0,1.00864,0.0540651,6,1,0
"2021-03-31 07:05:15",20.0625,3180.9,0,0,0,1.04303,0.0857923,6,1,0
"2021-03-31 07:05:16",20.0625,3178.57,0,0,0,1.00295,0.146052,6,1,0
"2021-03-31 07:05:18",20.0625,3184.42,0,0,0,0.988792,0.198929,6,1,0
"2021-03-31 07:05:19",20.0625,3187.15,0,0,0,1.01471,0.160427,6,1,0
"2021-03-31 07:05:20",20.0625,3164.52,0,0,0,1.03587,0.142535,6,1,0
"2021-03-31 07:05:21",20.0625,3180.13,0,0,0,1.11608,0.108906,6,1,0
"2021-03-31 07:05:22",20.0625,3189.1,0,0,0,1.13683,0.0930656,6,1,0
"2021-03-31 07:05:24",20.0625,3176.23,0,0,0,1.04806,0.12973,6,1,0
"2021-03-31 07:05:25",20.0625,3187.93,0,0,0,1.02301,0.17151,6,1,0
"2021-03-31 07:05:27",20.0625,3198.46,0,0,0,1.03606,0.168975,6,1,0
"2021-03-31 07:05:28",20.0625,3164.52,0,0,0,1.03776,0.109689,6,1,0
"2021-03-31 07:05:30",20.0625,3175.05,0,0,0,1.01588,0.100148,6,1,0
"2021-03-31 07:05:31",20.0625,3172.71,0,0,0,1.01379,0.101311,6,1,0
"2021-03-31 07:05:32",20.0625,3193.78,0,0,0,1.01169,0.116637,6,1,0
"2021-03-31 07:05:33",20.0625,3186.75,0,0,0,1.00195,0.115923,6,1,0
"2021-03-31 07:05:34",20.0625,3168.04,0,0,0,0.936009,0.0723947,6,1,0
"2021-03-31 07:05:37",20.0625,3169.6,0,0,0,0.516186,0.129868,6,1,0
"2021-03-31 07:05:38",20.0625,3193.78,0,0,0,0.562649,0.0959229,6,1,0
"2021-03-31 07:05:39",20.0625,3185.59,0,0,0,0.750102,0.051576,6,1,0
"2021-03-31 07:05:40",20.0625,3166.86,0,0,0,0.831233,0.0739803,6,1,0
"2021-03-31 07:05:41",20.0625,3191.05,0,0,0,0.721343,0.0605157,6,1,0
"2021-03-31 07:05:43",20.0625,3193.78,0,0,0,0.206506,0.0116357,6,1,0
"2021-03-31 07:05:44",20.0625,3176.22,0,0,0,0.105558,0.0811819,6,1,0
"2021-03-31 07:05:45",20.0625,3166.87,0,0,0,0.406583,0.113988,6,1,0
"2021-03-31 07:05:46",20.0625,3199.63,0,0,0,0.745272,0.0841595,6,1,0
"2021-03-31 07:05:49",20.0625,3162.18,0,0,0,0.920462,0.156292,6,1,0
"2021-03-31 07:05:50",20.0625,3185.59,0,0,0,0.985122,0.192132,6,1,0
"2021-03-31 07:05:51",20.0625,3180.12,0,0,0,1.03099,0.210106,6,1,0
"2021-03-31 07:05:52",20.0625,3169.2,0,0,0,1.05396,0.217755,6,1,0
"2021-03-31 07:05:53",20.0625,3178.57,0,0,0,1.07062,0.23114,6,1,0
"2021-03-31 07:05:55",20.0625,3178.56,0,0,0,1.11913,0.149345,6,1,0
"2021-03-31 07:05:56",20.0625,3177.79,0,0,0,1.09355,0.118925,6,1,0
